"SURVEY_YEAR","BIOMASS_MALE_LE112","CV_BIOMASS_MALE_LE112","CI_BIOMASS_MALE_LE112","BIOMASS_MALE_GE113","CV_BIOMASS_MALE_GE113","CI_BIOMASS_MALE_GE113","BIOMASS_MALE_GE120","CV_BIOMASS_MALE_GE120","CI_BIOMASS_MALE_GE120","BIOMASS_MALE_GE125","CV_BIOMASS_MALE_GE125","CI_BIOMASS_MALE_GE125","BIOMASS_MALE_113TO124","CV_BIOMASS_MALE_113TO124","CI_BIOMASS_MALE_113TO124","BIOMASS_MALE_TOTAL","CV_BIOMASS_MALE_TOTAL","CI_BIOMASS_MALE_TOTAL","BIOMASS_FEMALE_IMMATURE","CV_BIOMASS_FEMALE_IMMATURE","CI_BIOMASS_FEMALE_IMMATURE","BIOMASS_FEMALE_MATURE","CV_BIOMASS_FEMALE_MATURE","CI_BIOMASS_FEMALE_MATURE","BIOMASS_FEMALE_TOTAL","CV_BIOMASS_FEMALE_TOTAL","CI_BIOMASS_FEMALE_TOTAL","GTOTAL_MT","CV_GTOTAL_MT","CI_GTOTAL_MT","SPECIES_CODE","SURVEY_REGION"
1975,36746.2003778844492501869291396526910197,0.1803966625683702394404440913971271244319,12992.6281440683223485438190719293541578,177455.3424130638619137729864696508765071,0.4996184980687674673541014186665641285814,173773.5444353598807979342490886554680025,168657.9505707227692661527425809295297112,0.5191421212316179853620806636038979264264,171612.5945948502915859721839876275164112,159205.1982580817063278210137300108401767,0.5318019329416113688769746057831906377852,165944.6390492806089781040064085380909983,18250.1441549821555859519727396400363299,0.2570619239163452514648733511124700258677,9195.177649731497525931542948050226764962,214201.5427909483111639599156093035675265,0.4190078613072351285635724258661739707202,175914.1754537491026981210253221789371554,9287.857452126240928198020795663407793167,0.2469220733046987938664498728693536751971,4495.018956529516916670787174772433899314,18306.4942874140526975536793714217291288,0.192105097356114159981446440352179267637,6892.870899972335643668758524340417261427,27594.351739540293625751700167085136922,0.1667241533115702352700739898709587264162,9017.264062714761026367452057711450964892,241795.894530488604789711615776388704449,0.3740727611260250129543557533131461234307,177280.5454760757235539506202342279710637,68580,"EBS"
1976,23338.6745122895487361445224163270045979,0.1610441415717805232682422885361533240792,7366.771332419533135247710148282292046316,78619.1458895238620667955425662635534344,0.2199719116526011182193254202678622972106,33896.2474750740706261745592915283348344,72717.9332007329870256524248980647387619,0.2295028852060312015297874878710791883026,32710.3919325438288628427004214287967354,66708.6387475258892800613647858653811297,0.2413942648937808423117261802064311520938,31562.0423125466424981589639404414262459,11910.5071419979727867341777803981723041,0.1741930440455828555057487570214170752606,4066.465890574912813304372008281250889468,101957.820401813410802940064982590558032,0.1827338493993760411330711598995836676988,36517.0441968514595485257731493542837053,4452.754470351623437689605984779704886727,0.2641576585906292999094687105628551687657,2305.409222527403377009442228040887359324,20967.2328899488298917190845788317331326,0.2005242619678416240584174850083590159477,8240.7002454990945811788096834831314966,25419.9873603004533294086905636114380193,0.1766441732160702717847371156120711487931,8800.973594829531167702263916857528351985,127377.8077621138641323487555462019960514,0.170109999663775270107071228956005935687,42469.7481177478160200320657741355538835,68580,"EBS"
1977,17314.1221464880084719540077805197289704,0.1836416826334284801389275126839775421418,6232.005267631462035826675437014024654923,70148.5221209069793960558977590401636743,0.1476309219227129755637245682075518983538,20297.9383447616317102492763087689889443,64114.5600996475289289332343806462097404,0.1548687084877703243395719548938220751739,19461.5046710721299172087129045654313379,58398.5097806343410341761925433871954455,0.1586558035677291013232522513851903763225,18159.9144929526802569583407340623944634,11750.0123402726383618797052156529682288,0.1395405953197874350268653203330264134052,3213.623285273925745049990046083403227489,87462.6442673949878680099055395598926457,0.1343694044873693332336762916863936509255,23034.5147131969638728578243861577105207,1133.217594008852131330483133734525451234,0.2251234006098461396630434983408083833041,500.023044852594362133534679522109896484,30301.7031672948544409251300603833263471,0.3808647026794959095700918239016525799864,22620.0643682884247064021403329721899823,31434.9207613037065722556131941178517984,0.3673631066047061870974660574121202288092,22634.1390876207984487117346685011310527,118897.5650286986944402655187336777444432,0.1695413296989213914227399506814318421761,39509.7804949419207098985957719245366262,68580,"EBS"
1978,11117.9256084272092678032255640629264857,0.1916893837132871816851877937385488572456,4177.129083777186930020297752014036731877,61795.4891787053394345646390231376603021,0.1504030699623274943577232278653961756395,18216.6933133100986927331691856585851302,56387.9792249374600582631840948463380132,0.1543813333649178845595931246115308499301,17062.2927802583026768154472757032481836,50412.6028511863098235307434083542374571,0.1618658568246422108914558516426716062349,15993.7551443246389370419162864392187501,11382.8863275190296110338956147834228443,0.1970613890682877257519528451687394754604,4396.529686962347825008215069671870560357,72913.4147871325487023678645872005867865,0.1463933488546729282611598013374499250009,20921.1163755515991859055520467086348631,715.002974499801932850317510800249588401,0.2882797530783657570430951718971003096296,403.996926640635900306077779036073910291,17691.2153229291158123705785599607561714,0.3081503920428225469181840011134455553385,10685.0476774502091870423912370436498091,18406.2182974289177452208960707610057598,0.2966087713405459960144051681629620092323,10700.5137566834846826440591868828890961,91319.6330845614664475887606579615925472,0.1490369670920731552010687457757542065361,26675.6022557326051792679319581241037842,68580,"EBS"
1979,2278.293930779900528338853431115053581015,0.2669735599296665687933428458032699930101,1192.158712882268246453005795868418202075,15700.1879800752461595432649116435095264,0.1830247857024571611357895774943625235597,5632.106139461468752310595843927717860827,14651.8846754704192008644743582843817868,0.1879516710603132210125331838842891785851,5397.538569517814302767325753087722079861,13192.4839878258797997313685030939318529,0.1904379482885029232343863283464954754528,4924.205183602155942109543044217004879582,2507.703992249366359811896408549577673496,0.2031776742443916696353487522403397186772,998.638551083660411131861782251440742238,17978.4819108551466878821183427585631074,0.1710713273729940981695679876064458709883,6028.181418697052459126993073634701642349,590.935285550782731697760337226221009907,0.4868042175112733281245858116056649367101,563.832786993405317118458889867206993226,2857.541359928430673549455204819028834928,0.3645616876764026011926398032916664746716,2041.830197530037337186443926449958033205,3448.476645479213405247215542045249844835,0.3283449003507858139540115200474235236295,2219.287852222893550636347853274477467074,21426.9585563343600931293338848038129522,0.1737158731043838720624023512424855954252,7295.517514626741010446048458931275964585,68580,"EBS"
1980,8432.794209485931141346022689864692919452,0.3944474090656959560553744565052609413091,6519.535901147221307394840453707494302173,40546.4601231788756152608101643743682822,0.317933071980609605204772461248737756904,25266.4788248070310626356068410682703557,37082.0139351906107340692523788871957485,0.3241180973422093753297779581737161580932,23557.1455324908988199269588101785109468,34040.775058366310549490944478971210085,0.3286818373167116139942798548964501986642,21929.6256001427107621143432499613651082,6505.685064812565065769865685403158197031,0.3542513491761533947229145375214653750361,4517.109514589004147093726674839772726836,48979.2543326648067566068328542390612011,0.3100785590879741308171600855087847868906,29767.336553005189784698201388301056339,1320.865078530768084300941267638110342388,0.2626279607965371430184520451054394398111,679.916360041311289750458859716170159567,11561.8418283961996010384525597146156999,0.3769213105918141215468404017226112314905,8541.49296663612995485017755837002975028,12882.7069069269676853393938273527260423,0.3417473500044463475245815866336302949122,8629.156654799486930253157184026958383648,61861.9612395917744419462266815917872437,0.300662769297558931112044607457072654058,36455.1936177288722167218236240391292213,68580,"EBS"
1981,4668.386298512426234913518728924268392125,0.2287737517295720613289025112580781094399,2093.288326145890662124286164903462950312,18721.9912680058899732503657145520573957,0.2181352286795286079415875373988151808637,8004.494659301901054644945035146579962061,16323.74726525657218998514923605385045,0.2183419410721382253889678186811549713924,6985.750980395570868987943642459193091758,14730.7144082298232714021788936009200686,0.2234452887244376609873585286052557344036,6451.357118765727574411178628417899909669,3991.276859776066701848186820951137327191,0.2534058197675201844614195850890649200541,1982.369057758548266031486010023147636492,23390.3775665183162081638844434763257879,0.1941281370050346132462407726659729348707,8899.831624831809380933501396201031578674,893.421681090362221180649540795704402847,0.3119827115685899446586934650808630314509,546.314952535848882850174539243703074298,7683.722329678864372765395650809126867344,0.282108563614942760861548856511298855672,4248.581984497861561446830319786169660705,8577.144010769226593946045191604831270199,0.2591302968299929745769477739800661370505,4356.291831989883245872885580036178896767,31967.5215772875428021099296350811570581,0.2053948362965299494604936572172984473605,12869.2891678986169232904234002196183095,68580,"EBS"
1982,5517.73469482457048077057367421591954874,0.1966375690506297733084092413035501040094,2126.58811663097927206228702635481541353,11083.7744892797032608756080054312564349,0.1811019758998412377019421701343623240521,3934.295182456143567890299038160919625885,9414.896164024283049302103788704943729681,0.1817497548294235085425484751308953683897,3353.863936329550874205024911586589809107,7859.596495828680506713560839636972975503,0.1837417702076039437464535049473255247762,2830.506899591643499641458577117522469557,3224.17799345102275416204716579428345943,0.2079787039100172925312485000571351681401,1314.298306096162111959557467128347944443,16601.5091841042737416461816796471759837,0.1594539518416075860050329952790713109194,5188.465442042731068628222467396384095311,1310.35612657613452856074148996199471122,0.3434784474936003315225763791984418995854,882.155012519392733902529796761734204487,6796.6034446379494432024919859425826413,0.263098713356846399890615681757814420554,3504.828138102671251530949857140661876703,8106.959571214083971763233475904577352516,0.2303139943706989195952130087888925231732,3659.606632454245155165039306475968618372,24708.4687553183577134094151555517533362,0.1720477541903535746372500105958163007865,8332.031655316686927858704131928129934608,68580,"EBS"
1983,3289.403092553211325500292659351353589534,0.1890241884543111779706379418408857867029,1218.682430135185534330682454159627661243,10047.1855994398527729862849605338559519,0.2390800409424219524924248643814173662622,4708.079827161576806545602098252747411679,8572.461887821150976949248160578307111862,0.2499907326390533411075531180809657180777,4200.350614599272784329079788027209733703,7233.402138477442810517463230751377738211,0.2492429075848037076108761099066148036951,3533.633394219539386913675475780470943958,2813.783460962409962468821729782478213695,0.2461789634361085927134306201116213452894,1357.680819676648735328089160432287099465,13336.5886919930640984865776198852095415,0.2120059442111782137741647437495318461721,5541.774713276139075997231610688181990291,912.85233644100002630622367429128112182,0.2927129251741925447416180698026736774499,523.719208197412907002995884690917814129,4437.5505987891817564020967509258200266,0.2722570930441199639732136093201296861356,2367.983067474571574093337951218018591983,5350.402935230181782708320425217101148435,0.2302498673858300426225984835171338188078,2414.581949943110118308607466608298134906,18686.9916272232458811948980451023106899,0.1928510264410760015015245446912813224749,7063.458812155360250682942090387993918137,68580,"EBS"
1984,2521.511239501135394725661644194012063286,0.2024058573812827990282266072273890797147,1000.322542882426113432389326708230130094,9498.14256378370619799158650539922834556,0.2153869611853253884996952532028062342244,4009.721084888001475923518788165047584375,8375.745050902783588159315735406311449212,0.2232908317237538614798854133526228512558,3665.645074295507435111361432656648658942,7424.120662906670161481814436727268955153,0.2336767818399379661481153326143601873248,3400.295464018858489735539869585007737186,2074.021900877036036509772068671959390407,0.19442646725160293913108550535630653554,790.359712332353595222635049449770174821,12019.6538032848415927172481495932404088,0.1852351043238859386734926469590917261598,4363.865179329381656169350640676003669051,671.03550007821496553231905098865585368,0.4600371521763650517603741416862714971449,605.054470511841001355553931981641763061,4128.958668604956504607793408224378148341,0.4436157520097907442785433055682751033581,3590.075365389443012392532460442683563582,4799.994168683171470140112459213034002026,0.3856575400806670654480734918130660301531,3628.261729251960848962793233888197083875,16819.6479719680130628573606088062744109,0.2289159414272348075416844322496438947851,7546.559677956367256957566700479506775795,68580,"EBS"
